id_facie|descripcion
1|COMUNIDAD DE FONDOS DETRÍTICOS COSTEROS DE CORALINÁCEAS SUELTAS (RODOLITOS)
2|COMUNIDAD DE GRUTAS SEMIOSCURAS Y EXTRAPLOMOS
3|COMUNIDAD DE ARENA BIEN CALIBRADA
4|COMUNIDAD DE CORALÍGENO
5|COMUNIDAD DE PRECORALÍGENO
6|COMUNIDAD DE CYMODOCEA NODOSA
7|COMUNIDAD DE RODOFÍCEAS CALCÁREAS INCRUSTANTES Y ERIZOS
8|COMUNIDAD DE ALGAS FOTÓFILAS INFRALITORALES (AFI) CON PREDOMINIO DE CYSTOSEIRA SP
9|COMUNIDAD DE ALGAS FOTÓFILAS INFRALITORALES (AFI) CON PREDOMINIO DE HALOPTERIS SP/ASPARAGOPSIS SP/PLOCAMIUM SP
10|COMUNIDAD DE EUNICELLA SP 
